electricity,gas,water
252,112,43
585,116,63
505,61,213
697,118,155
328,106,206
367,150,238
1059,143,227
309,126,234
347,51,280
648,140,150
736,136,242
879,99,160
735,69,277
982,51,229
894,62,156
405,72,252
1004,97,194
988,133,273
886,66,246
409,137,237
692,129,300
1016,86,152
656,54,178
447,77,272
470,129,228
991,103,293
765,103,256
1121,122,186
1046,131,273
740,142,217
765,125,213
605,122,187
595,109,217
364,75,187
1186,133,208
326,86,189
976,75,294
645,106,162
1185,124,177
754,88,232
676,113,261
725,111,291
738,134,231
429,82,173
579,58,275
795,131,292
770,88,295
1127,116,203
795,91,241
799,96,209
987,68,162
857,96,228
1103,78,276
659,116,186
348,136,294
595,96,219
386,122,250
1064,115,200
396,116,210
931,50,245
990,54,234
967,144,273
858,126,281
626,77,270
735,61,184
360,104,183
324,111,252
1044,130,279
614,112,275
394,122,225
899,52,163
472,130,209
773,111,193
470,60,237
1150,85,161
1025,145,217
1125,118,190
1181,104,288
649,144,255
613,98,268
954,133,184
612,83,176
890,143,274
662,99,208
1093,89,199
1025,71,159
1112,150,220
657,129,187
487,129,230
1099,146,180
601,52,277
491,103,230
862,131,254
453,89,278
640,67,275
984,91,159
841,80,228
827,140,158
390,57,234
384,85,155
995,73,188
1193,64,164
987,124,208
421,87,264
1018,58,213
1100,147,168
661,124,193
923,148,230
440,149,184
510,105,220
647,130,278
1168,67,297
1076,129,202
1135,64,299
402,137,276
610,74,215
1029,139,180
593,113,227
873,60,272
1163,66,294
791,139,206
1085,71,196
1093,128,266
921,111,194
895,133,202
939,99,222
1168,54,264
925,110,177
977,91,185
943,90,217
444,95,175
972,128,236
1127,109,198
1167,133,296
717,87,279
841,115,201
728,65,282
845,149,268
581,84,215
514,115,255
1083,147,238
974,101,186
496,139,287
826,108,234
439,148,241
780,67,190
1196,110,205
660,134,189
447,87,215
1084,150,191
1002,130,276
429,78,265
651,138,238
1164,121,265
428,66,244
1166,143,281
640,89,225
663,101,207
1079,145,210
846,120,258
623,119,228
815,81,264
361,119,294
313,112,155
567,59,283
819,130,182
1102,105,224
905,106,246
1075,80,234
1010,137,172
994,122,241
868,101,274
724,98,199
697,84,242
913,127,208
1046,102,155
854,73,192
1083,117,174
322,69,180
404,89,185
717,111,269
314,108,255
478,117,298
370,109,184
977,81,294
1045,83,166
539,96,261
603,130,209
1049,106,244
1043,133,191
936,130,208
975,106,291
393,50,191
956,50,173
1011,143,268
726,66,186
1187,89,188
1149,118,225
882,55,232
705,104,252
404,72,295
688,77,253
530,89,158
1026,55,221
404,113,152
628,125,215
799,109,202
695,134,226
984,53,188
361,89,255
992,147,231
520,128,155
350,91,295
929,83,182
984,101,246
440,83,300
922,69,220
793,78,216
309,62,298
485,92,221
459,73,231
924,111,206
415,115,287
839,110,288
327,133,253
366,137,162
895,88,221
746,119,263
906,59,169
943,118,249
512,109,227
844,61,178
459,50,288
766,93,261
622,120,245
902,87,157
1049,58,256
512,56,191
1039,132,200
410,86,175
948,144,262
348,65,273
1073,112,191
976,71,192
898,103,163
650,88,162
487,143,220
552,97,156
312,62,298
574,111,197
1063,92,220
1102,115,170
710,76,297
347,66,261
408,115,244
335,74,297
952,55,299
466,54,222
530,126,221
416,150,278
307,136,247
554,139,255
548,70,238
584,130,174
800,59,237
991,96,152
1087,50,257
847,124,202
918,63,300
492,111,150
1153,120,198
625,103,284
829,149,260
983,82,155
1110,76,198
1104,134,219
1029,133,155
995,106,283
380,108,287
1111,124,268
638,113,175
330,131,269
1124,96,268
391,147,298
623,59,233
921,143,253
814,107,264
496,128,297
632,56,254
1074,107,175
1053,121,236
777,129,229
991,113,281
664,107,183
694,121,282
662,66,192
1137,86,287
792,79,154
479,68,239
488,130,235
767,105,172
1067,133,209
305,62,281
828,138,209
818,72,283
1018,137,185
1127,68,235
556,123,260
955,74,173
948,88,237
1040,81,289
405,60,221
992,110,219
945,124,170
803,115,213
882,115,232
482,74,234
500,114,152
361,50,156
503,78,237
675,143,282
535,56,167
834,89,238
670,51,235
1029,135,227
320,73,257
636,80,159
1098,61,220
505,136,166
338,146,266
1109,135,290
332,122,253
1170,126,206
882,129,297
874,108,221
1075,124,251
1165,56,270
987,98,288
630,55,256
384,133,170
1087,149,185
610,98,188
788,138,280
865,130,240
489,51,281
838,84,254
1160,51,174
950,109,186
577,106,273
781,122,268
385,116,186
791,144,161
738,72,243
667,83,284
916,110,214
1091,74,255
404,62,201
694,57,204
836,76,278
378,75,234
605,72,296
704,114,170
1085,60,162
891,127,153
527,59,294
936,55,286
637,89,257
1183,52,174
988,123,202
673,129,171
1052,142,203
825,140,164
1181,104,288
988,51,265
1019,104,169
1168,136,239
320,124,202
956,57,202
849,117,290
579,132,178
502,144,190
921,129,272
632,60,210
1051,145,249
511,66,161
309,110,249
870,106,171
585,148,257
1089,118,158
1192,66,152
424,89,163
869,93,185
819,111,224
644,116,284
848,147,236
913,79,160
1112,141,155
517,105,213
1057,121,192
891,52,240
759,53,202
635,83,285
1140,86,212
1115,121,260
591,60,184
622,96,245
461,117,294
1142,74,231
873,146,260
641,118,208
423,115,252
437,116,185
459,148,297
497,74,270
1029,146,191
627,131,234
778,103,218
845,146,214
918,74,292
846,96,235
621,76,211
1149,74,262
703,143,283
738,69,275
386,116,247
633,56,248
383,137,196
853,62,195
1001,105,217
593,88,250
1054,96,202
1014,70,153
1143,54,256
692,138,295
1039,131,287
586,68,155
711,70,280
1140,56,208
930,79,158
775,69,186
844,143,164
1135,124,155
896,120,260
1183,119,188
437,144,217
329,67,246
602,144,165
414,80,215
778,100,175
1188,68,242
692,55,203
661,84,271
1048,137,270
454,101,274
744,122,243
1086,118,287
873,144,300
1092,88,249
734,142,175
929,86,192
753,65,156
466,77,172
596,117,194
429,93,294
400,130,195
1044,78,284
867,130,204
678,122,283
983,67,227
1097,78,253
806,110,181
1026,84,261
568,137,164
847,132,174
569,65,209
830,95,219
954,110,279
966,112,220
552,50,191
754,140,180
994,134,181
434,59,153
368,58,233
552,79,212
641,96,162
782,89,260
628,116,161
932,75,212
516,114,223
516,95,162
1086,105,292
407,75,246
465,130,202
850,98,285
766,102,236
942,110,234
354,113,241
569,131,156
957,58,256
1183,132,292
811,78,298
717,65,222
706,112,160
607,91,226
766,61,249
506,104,282
713,146,300
378,72,242
354,118,243
1077,102,197
398,86,274
497,127,278
513,142,273
1097,122,172
1182,70,184
1012,146,263
1103,124,254
463,79,289
739,122,181
394,112,250
696,113,199
812,131,238
714,66,176
619,94,189
456,72,201
911,104,229
1057,148,213
492,79,299
1193,68,160
1108,114,181
660,94,183
975,74,197
853,132,182
769,108,163
941,79,273
646,142,266
317,83,169
469,58,226
648,139,163
1140,91,223
702,115,238
456,73,152
615,145,284
774,55,169
971,57,267
1091,97,256
855,117,290
1188,95,224
503,69,268
962,59,216
336,56,258
534,125,261
574,138,287
1186,93,239
884,62,250
476,65,176
479,108,274
520,85,195
943,102,277
883,69,210
1025,147,201
330,80,217
1086,146,283
345,72,220
885,73,188
1054,61,211
620,134,184
1095,106,240
481,64,173
1049,82,245
533,134,155
321,103,290
840,145,273
351,95,272
1137,144,281
1169,148,277
1012,116,250
433,104,257
1017,99,210
673,50,251
795,84,252
685,139,244
613,58,229
921,121,187
364,72,191
1060,126,297
559,97,193
364,81,300
560,87,250
1179,109,282
398,84,167
715,51,176
1148,52,256
1190,69,195
481,115,164
774,129,194
511,104,270
409,126,214
459,82,280
1097,67,157
777,64,220
1037,126,196
659,54,278
938,119,186
541,129,253
858,122,198
1155,147,164
625,67,264
368,55,188
1095,95,206
914,111,258
719,95,182
736,106,243
838,118,272
447,53,231
599,63,275
339,115,168
941,57,176
897,59,246
1164,59,252
559,123,176
936,127,235
687,73,249
771,93,226
991,75,246
534,150,268
957,71,205
784,135,164
623,63,295
664,147,272
560,74,277
380,121,219
824,67,221
764,121,264
625,118,295
794,87,165
1120,70,169
953,118,164
966,113,193
721,120,199
1134,66,276
848,124,234
1082,137,261
1000,54,243
1150,142,184
874,50,157
317,109,237
315,108,210
747,110,218
959,122,238
938,145,185
702,99,213
710,73,215
1067,95,158
1123,52,160
517,62,299
387,73,197
817,131,227
1056,126,219
629,57,274
367,78,256
649,69,232
919,127,243
784,86,187
600,71,196
423,54,159
1136,110,293
